id,team_id,treatment,region,organization,job_family,performance_rating,gender,age,tenure_months,is_new_manager,num_direct_reports,tot_span_of_control,baseline_manager_efficacy,baseline_workload,baseline_turnover_intention,propensity_score,retention_3month,retention_6month,retention_9month,retention_12month,manager_efficacy_index,workload_index_mgr,turnover_intention_index_mgr
23,355,0,Latin America,Manufacturing,Pharmacovigilance,Meets,Female,28,2,1,10,11,0.0,4.7,3.6,0.0348,1,1,1,1,2.4,3.5,1.9
24,209,0,North America,Commercial,Human Resources,Far Exceeds,Female,35,9,1,12,16,0.0,5.0,1.7,0.1275,1,1,1,1,2.5,4.3,2.7
25,20,0,North America,R&D,Market Access,Meets,Male,36,9,0,10,18,4.1,1.6,2.2,0.0977,1,0,0,0,3.7,4.3,3.3
26,106,0,Asia Pacific,R&D,Regulatory Affairs,Meets,Female,38,8,0,9,33,3.2,3.1,2.8,0.0977,1,1,1,1,4.2,2.9,3.2
27,140,0,Asia Pacific,R&D,Quality Assurance,Meets,Female,30,7,0,12,23,4.7,2.4,1.0,0.0977,1,1,1,1,4.2,3.9,1.0
28,900,0,Europe,Finance,Quality Assurance,Exceeds,Male,41,4,1,8,10,0.0,3.0,2.2,0.0588,1,1,1,1,2.9,2.5,2.6
29,344,0,Latin America,Commercial,Clinical Operations,Below,Female,49,9,1,10,24,0.0,4.9,2.7,0.0,1,1,1,1,2.9,2.5,3.2
30,521,0,Latin America,Manufacturing,Clinical Operations,Meets,Female,31,21,0,9,22,2.9,4.6,2.1,0.0348,1,1,1,1,3.3,4.2,3.5
31,487,0,Asia Pacific,Manufacturing,Finance & Accounting,Exceeds,Male,39,14,0,5,20,3.0,3.4,3.8,0.0616,1,1,1,1,2.6,2.5,2.0
32,15,0,Latin America,R&D,Medical Affairs,Exceeds,Male,46,14,0,11,24,3.2,3.5,1.7,0.1648,1,1,0,0,2.8,3.9,1.9
33,224,0,Latin America,Commercial,Regulatory Affairs,Meets,Male,37,15,0,6,14,3.6,2.5,2.0,0.0422,1,1,1,1,1.8,2.9,2.3
34,1023,0,North America,Finance,IT & Digital,Meets,Female,34,11,0,5,38,3.7,4.3,4.4,0.0331,1,1,1,1,2.9,4.9,2.9
35,152,0,Asia Pacific,R&D,Communications,Meets,Male,39,7,0,7,12,3.0,2.6,4.3,0.0977,1,1,1,1,4.6,4.1,4.0
36,760,0,Middle East & Africa,HR,Clinical Operations,Meets,Male,42,26,0,11,14,5.0,3.7,4.5,0.0383,1,1,0,0,4.3,2.8,3.3
37,444,0,Asia Pacific,Manufacturing,Pharmacovigilance,Exceeds,Male,30,8,0,6,28,2.9,2.5,2.0,0.0616,1,1,1,1,2.6,3.3,1.9
38,546,0,Middle East & Africa,Digital,Finance & Accounting,Below,Female,44,19,0,7,11,1.1,2.5,2.5,0.0,1,1,1,1,2.8,2.8,2.3
39,88,1,North America,R&D,Data Science,Meets,Female,37,27,0,6,10,2.6,4.1,1.0,0.0977,1,1,1,1,2.1,4.4,1.0
40,711,0,Europe,HR,Legal & Compliance,Exceeds,Female,34,9,0,7,15,3.4,2.8,2.0,0.0677,1,1,1,1,2.0,3.8,1.0
41,432,0,Latin America,Manufacturing,Legal & Compliance,Meets,Male,29,6,0,11,27,3.0,3.3,3.2,0.0348,1,1,1,1,3.0,4.5,4.1
42,964,0,North America,Finance,Legal & Compliance,Meets,Female,34,22,0,9,20,3.7,2.7,2.3,0.0331,0,0,0,0,4.5,1.7,3.0
43,187,0,Latin America,Commercial,Clinical Operations,Meets,Female,34,8,1,12,33,0.0,3.4,3.9,0.0422,1,1,1,1,3.1,2.2,4.6
44,450,0,Europe,Manufacturing,Regulatory Affairs,Exceeds,Female,31,19,1,7,30,0.0,3.1,2.8,0.0616,1,1,1,1,3.0,2.5,4.7
45,197,0,Europe,Commercial,Quality Assurance,Far Exceeds,Female,41,15,0,11,19,2.5,3.3,2.7,0.1275,1,1,1,1,3.6,3.4,1.8
46,300,0,North America,Commercial,Sales,Meets,Male,39,10,0,10,13,4.0,3.4,1.8,0.0422,1,1,1,1,4.6,2.3,3.0
47,990,0,Europe,Finance,Human Resources,Exceeds,Male,44,3,0,7,19,2.3,4.5,3.5,0.0588,1,1,1,1,3.2,2.6,1.7
48,1042,0,Middle East & Africa,Finance,Supply Chain,Far Exceeds,Male,42,13,0,9,23,2.6,2.6,1.8,0.1022,1,1,1,1,2.6,4.2,1.7
49,175,0,Europe,R&D,Marketing,Far Exceeds,Female,34,12,0,11,27,4.6,5.0,3.1,0.2644,1,1,1,1,4.9,3.9,3.2
50,5,0,Latin America,R&D,Finance & Accounting,Meets,Female,36,16,0,8,13,3.0,2.7,2.7,0.0977,1,1,1,1,3.5,3.3,3.6
51,417,0,Latin America,Manufacturing,Clinical Operations,Meets,Female,34,22,0,9,19,1.4,2.5,3.1,0.0348,1,1,1,1,1.7,3.9,3.1
52,905,0,Latin America,Finance,Marketing,Meets,Female,28,28,0,11,23,4.0,2.9,4.2,0.0331,1,1,1,1,5.0,4.4,3.4
53,823,0,Latin America,HR,Human Resources,Meets,Female,40,14,0,8,30,4.7,3.7,4.0,0.0383,1,1,1,1,3.9,2.3,3.9
54,441,0,Middle East & Africa,Manufacturing,Supply Chain,Meets,Male,39,7,1,12,38,0.0,2.2,2.7,0.0348,1,1,1,1,2.5,2.2,2.7
55,528,0,Asia Pacific,Digital,Medical Affairs,Meets,Male,34,19,0,11,12,3.2,4.1,3.1,0.0853,1,1,1,1,3.1,3.3,3.0
56,307,0,North America,Commercial,Quality Assurance,Meets,Female,43,8,0,8,16,5.0,3.0,4.0,0.0422,1,1,1,1,4.8,3.8,3.4
57,309,0,Latin America,Commercial,Quality Assurance,Meets,Non-Binary/Other,36,3,1,11,21,0.0,1.0,1.7,0.0422,1,1,1,1,3.5,1.4,3.3
58,61,0,Europe,R&D,Supply Chain,Exceeds,Female,45,9,1,11,31,0.0,4.1,3.3,0.1648,1,1,1,1,4.2,3.2,4.3
59,731,1,Latin America,HR,Human Resources,Exceeds,Female,37,8,1,8,16,0.0,2.8,3.7,0.0677,1,1,1,1,3.6,3.8,3.7
60,1019,0,Europe,Finance,Communications,Meets,Male,30,14,0,7,28,3.0,2.6,3.6,0.0331,1,1,1,1,3.4,3.3,2.9
61,916,0,Europe,Finance,Regulatory Affairs,Meets,Male,47,31,0,9,17,4.4,3.8,3.8,0.0331,0,0,0,0,3.5,4.4,2.1
62,107,0,Latin America,R&D,Marketing,Meets,Female,40,23,0,9,16,3.5,3.0,3.1,0.0977,1,1,1,1,3.7,3.5,3.3
63,679,0,Middle East & Africa,Digital,Marketing,Below,Female,32,26,0,6,11,4.4,2.3,2.2,0.0,1,1,1,1,5.0,2.5,3.2
64,468,0,Europe,Manufacturing,IT & Digital,Far Below,Female,36,5,1,7,15,0.0,2.6,1.3,0.0,1,1,1,1,3.6,3.2,2.9
65,378,0,Europe,Manufacturing,Communications,Exceeds,Female,33,30,0,5,12,4.1,1.9,4.3,0.0616,1,1,1,1,3.9,2.7,5.0
66,734,0,Latin America,HR,IT & Digital,Below,Male,44,13,0,10,19,2.9,3.2,3.6,0.0,1,1,1,1,2.9,3.1,1.3
67,176,0,Europe,R&D,Supply Chain,Exceeds,Male,28,16,0,11,48,2.4,3.8,3.1,0.1648,1,1,1,1,1.8,4.6,5.0
68,92,0,Europe,R&D,Marketing,Exceeds,Female,40,6,0,5,12,3.5,4.8,2.3,0.1648,1,1,1,1,4.5,4.0,2.3
69,595,0,Latin America,Digital,Regulatory Affairs,Meets,Male,28,22,0,10,29,2.7,1.7,3.6,0.0853,1,1,1,1,2.6,2.0,2.5
70,402,0,Latin America,Manufacturing,Quality Assurance,Exceeds,Female,28,10,1,7,17,0.0,3.3,2.4,0.0616,1,1,1,1,1.2,2.9,3.1
71,106,0,North America,R&D,Communications,Meets,Female,40,7,1,9,11,0.0,2.7,2.3,0.0977,1,1,1,1,2.6,3.2,2.6
72,897,0,Middle East & Africa,Finance,Medical Affairs,Exceeds,Female,31,8,0,7,28,3.8,3.5,3.1,0.0588,1,1,1,1,3.6,4.0,2.0
73,857,0,Middle East & Africa,HR,Pharmacovigilance,Exceeds,Non-Binary/Other,42,8,1,5,16,0.0,3.2,5.0,0.0677,1,1,1,1,2.4,4.0,3.4
74,488,0,Europe,Manufacturing,Quality Assurance,Below,Male,44,15,0,11,14,2.5,1.9,1.0,0.0,1,1,1,1,3.0,2.6,1.9
75,595,0,Middle East & Africa,Digital,Legal & Compliance,Meets,Female,35,5,0,8,23,3.4,2.7,2.6,0.0853,1,1,1,0,4.1,2.1,2.4
76,771,0,Europe,HR,Data Science,Meets,Male,41,6,1,8,15,0.0,3.4,2.5,0.0383,1,1,1,1,3.8,3.3,3.2
77,350,0,North America,Commercial,Data Science,Far Below,Male,47,9,0,10,14,3.7,2.8,2.2,0.0,1,0,0,0,3.4,1.0,1.5
78,964,0,Latin America,Finance,Quality Assurance,Far Exceeds,Female,32,4,0,11,33,3.7,1.4,3.7,0.1022,1,1,1,1,4.1,2.3,4.9
79,693,1,Latin America,Digital,Regulatory Affairs,Meets,Male,43,19,0,9,18,3.7,2.8,4.2,0.0853,1,1,1,1,4.2,2.9,5.0
80,874,0,Latin America,HR,Pharmacovigilance,Meets,Female,33,17,0,11,28,2.8,3.8,3.6,0.0383,1,1,1,1,2.9,4.5,4.8
81,60,0,Middle East & Africa,R&D,Medical Affairs,Below,Female,38,8,0,12,16,3.8,3.9,1.9,0.0,1,1,1,1,3.4,5.0,2.0
82,242,0,North America,Commercial,Communications,Meets,Male,34,11,0,11,24,2.3,4.0,3.3,0.0422,0,0,0,0,2.1,4.4,4.2
83,637,0,Middle East & Africa,Digital,Marketing,Exceeds,Male,34,16,0,10,14,3.6,3.0,3.3,0.1452,1,1,1,1,2.2,3.8,3.6
84,145,0,Middle East & Africa,R&D,Data Science,Meets,Male,36,8,1,12,18,0.0,2.6,2.4,0.0977,0,0,0,0,3.3,2.9,2.1
85,983,0,North America,Finance,Data Science,Meets,Female,34,12,0,6,23,1.8,3.5,2.7,0.0331,1,1,1,1,3.4,3.2,3.1
86,181,0,North America,Commercial,Data Science,Meets,Female,37,13,0,10,25,1.8,3.0,4.2,0.0422,1,0,0,0,2.1,3.2,4.2
87,398,0,North America,Manufacturing,Human Resources,Meets,Female,45,22,0,8,15,1.7,1.8,1.0,0.0348,1,1,1,0,2.5,2.8,2.6
88,69,0,North America,R&D,Finance & Accounting,Meets,Male,30,19,1,8,20,0.0,2.2,4.5,0.0977,1,1,1,1,3.6,2.6,2.9
89,764,0,Latin America,HR,Market Access,Below,Male,41,14,1,8,13,0.0,3.7,2.1,0.0,1,1,1,1,3.8,4.2,2.6
90,605,0,Asia Pacific,Digital,IT & Digital,Far Below,Male,32,12,0,9,12,4.4,2.9,2.6,0.0,1,1,1,1,4.7,3.5,1.0
91,281,0,Asia Pacific,Commercial,Legal & Compliance,Below,Female,32,5,1,9,12,0.0,2.1,2.6,0.0,1,1,1,1,2.7,2.6,2.3
92,169,0,North America,R&D,Legal & Compliance,Exceeds,Male,28,22,0,11,17,3.2,2.3,2.2,0.1648,1,1,1,1,4.8,4.5,2.0
93,402,0,Asia Pacific,Manufacturing,Legal & Compliance,Far Exceeds,Male,44,14,0,7,12,2.1,3.5,1.9,0.1069,1,1,1,1,2.4,5.0,2.9
94,642,0,Asia Pacific,Digital,IT & Digital,Below,Male,37,30,0,5,12,3.7,1.3,2.8,0.0,1,0,0,0,4.1,4.1,4.2
95,688,0,North America,Digital,Regulatory Affairs,Meets,Female,33,17,0,8,19,4.0,3.0,1.1,0.0853,1,1,1,1,3.6,2.1,4.3
96,84,0,Asia Pacific,R&D,Quality Assurance,Below,Female,39,13,0,10,19,3.2,3.5,2.4,0.0,1,1,1,1,3.4,3.8,2.7
97,362,0,Middle East & Africa,Manufacturing,Pharmacovigilance,Exceeds,Female,36,10,0,5,21,4.2,4.0,3.5,0.0616,0,0,0,0,3.1,2.3,2.7
98,996,0,Europe,Finance,Communications,Meets,Female,45,5,0,6,17,2.6,3.1,2.7,0.0331,1,1,1,1,3.3,3.5,4.5
99,1012,0,Europe,Finance,Quality Assurance,Meets,Female,32,14,0,8,19,4.0,1.3,2.3,0.0331,1,1,1,1,4.2,3.4,2.5
100,200,0,North America,Commercial,Communications,Meets,Male,37,6,1,8,16,0.0,3.6,3.0,0.0422,1,1,1,1,3.3,2.3,3.2
101,60,0,Latin America,R&D,Market Access,Meets,Male,43,34,0,6,9,3.9,3.5,4.0,0.0977,1,0,0,0,2.5,4.4,3.6
102,260,0,North America,Commercial,Data Science,Meets,Female,32,7,0,11,20,4.4,4.5,3.8,0.0422,1,1,0,0,3.4,5.0,3.1
103,933,0,Latin America,Finance,Supply Chain,Below,Male,35,9,0,11,15,2.5,4.5,1.2,0.0,1,1,1,1,1.7,3.4,1.8
104,528,0,Europe,Digital,Human Resources,Far Below,Male,30,12,1,9,12,0.0,3.1,3.6,0.0,1,1,1,1,2.6,2.8,4.0
105,335,0,North America,Commercial,Market Access,Meets,Male,33,11,0,7,19,2.8,2.2,2.8,0.0422,1,1,1,1,2.2,1.0,4.3
106,494,0,Middle East & Africa,Manufacturing,Regulatory Affairs,Exceeds,Male,29,7,1,12,22,0.0,3.6,1.8,0.0616,0,0,0,0,4.8,5.0,3.4
107,866,0,Asia Pacific,HR,Medical Affairs,Meets,Male,32,11,1,9,14,0.0,4.0,2.5,0.0383,1,1,1,1,4.4,3.2,1.8
108,966,0,Latin America,Finance,IT & Digital,Below,Female,30,27,0,10,15,3.0,3.2,2.6,0.0,1,1,1,1,5.0,2.4,3.9
109,901,0,Asia Pacific,Finance,Finance & Accounting,Exceeds,Male,34,14,0,11,17,3.8,2.9,2.0,0.0588,1,1,1,1,4.4,2.8,2.7
110,359,0,Asia Pacific,Manufacturing,Legal & Compliance,Below,Male,44,12,1,5,14,0.0,4.7,3.7,0.0,1,1,1,1,1.8,4.1,2.1
111,244,0,North America,Commercial,Finance & Accounting,Below,Male,40,3,0,10,15,2.6,2.3,4.4,0.0,1,1,1,1,2.8,3.9,3.5
112,84,0,Asia Pacific,R&D,Marketing,Exceeds,Female,46,13,0,6,14,3.7,2.7,2.1,0.1648,1,1,1,1,2.2,2.3,2.1
113,637,0,Middle East & Africa,Digital,Human Resources,Meets,Female,36,27,0,11,16,3.8,3.5,1.8,0.0853,1,1,1,1,4.3,3.5,1.7
114,820,0,Asia Pacific,HR,Sales,Meets,Male,33,5,0,12,21,2.5,2.9,2.7,0.0383,1,1,1,1,3.7,3.7,2.7
115,61,0,North America,R&D,Finance & Accounting,Meets,Female,37,10,1,11,14,0.0,3.4,3.7,0.0977,1,1,1,1,3.2,2.5,3.1
116,58,0,Middle East & Africa,R&D,Pharmacovigilance,Meets,Male,34,10,0,8,34,3.1,4.0,1.0,0.0977,0,0,0,0,3.1,3.8,2.6
117,431,0,Europe,Manufacturing,Market Access,Far Below,Female,40,25,0,8,31,1.7,2.0,2.8,0.0,1,1,1,1,3.0,2.8,1.5
118,248,0,Asia Pacific,Commercial,Medical Affairs,Meets,Female,29,7,0,5,14,2.9,2.6,3.4,0.0422,1,1,1,1,4.0,3.3,3.5
119,970,0,North America,Finance,Sales,Meets,Female,38,7,0,10,13,3.4,4.7,2.3,0.0331,1,1,1,1,3.3,2.0,3.5
120,1005,0,Europe,Finance,Medical Affairs,Far Exceeds,Female,47,5,0,8,19,2.7,3.3,3.2,0.1022,1,1,0,0,1.9,3.6,2.8
121,511,0,Europe,Manufacturing,Legal & Compliance,Far Exceeds,Male,32,12,0,11,19,2.6,3.0,2.6,0.1069,1,1,1,1,1.7,3.2,3.6
122,336,0,Latin America,Commercial,Finance & Accounting,Meets,Female,35,25,0,9,14,3.3,2.7,3.4,0.0422,1,1,1,1,2.5,2.9,2.8
123,517,0,Middle East & Africa,Manufacturing,Legal & Compliance,Meets,Male,28,10,1,10,16,0.0,3.9,3.9,0.0348,1,1,1,1,3.6,2.1,3.2
124,970,0,Asia Pacific,Finance,Quality Assurance,Below,Non-Binary/Other,45,8,0,10,14,3.5,2.3,3.0,0.0,1,1,1,1,4.3,3.0,1.0
125,167,0,North America,R&D,Finance & Accounting,Below,Male,37,28,0,11,16,3.3,4.0,3.5,0.0,1,1,1,1,3.9,2.6,3.7
126,559,0,Latin America,Digital,Quality Assurance,Meets,Male,35,9,0,6,8,3.9,2.6,1.0,0.0853,1,1,1,1,3.7,2.4,2.2
127,202,0,Middle East & Africa,Commercial,Communications,Meets,Male,38,13,0,11,20,3.9,2.3,1.6,0.0422,1,1,1,1,4.0,3.3,2.0
128,829,0,Latin America,HR,Data Science,Meets,Male,38,9,0,9,18,4.0,2.0,2.6,0.0383,1,1,1,1,3.0,2.0,3.5
129,825,0,Middle East & Africa,HR,Clinical Operations,Meets,Female,34,19,0,9,11,4.3,3.0,1.6,0.0383,0,0,0,0,3.3,1.1,2.2
130,29,0,Middle East & Africa,R&D,Marketing,Exceeds,Female,30,15,0,11,19,4.1,3.1,2.3,0.1648,1,1,1,1,3.4,4.4,2.1
131,447,1,Asia Pacific,Manufacturing,Regulatory Affairs,Meets,Male,39,7,0,7,16,2.7,2.2,3.0,0.0348,1,1,0,0,1.8,3.9,3.2
132,518,0,Middle East & Africa,Manufacturing,Regulatory Affairs,Meets,Male,38,31,0,6,13,2.3,2.4,2.6,0.0348,0,0,0,0,2.8,2.4,3.6
133,987,0,Latin America,Finance,Data Science,Below,Female,36,18,1,10,18,0.0,1.2,3.3,0.0,1,1,1,1,3.7,2.4,3.3
134,60,0,Middle East & Africa,R&D,Quality Assurance,Meets,Male,36,11,0,7,11,4.4,2.7,3.8,0.0977,1,1,1,1,3.3,2.6,1.5
135,901,0,Asia Pacific,Finance,Data Science,Exceeds,Male,44,23,0,7,37,2.7,5.0,3.3,0.0588,1,0,0,0,3.4,4.1,3.0
136,894,0,Asia Pacific,Finance,Supply Chain,Below,Female,40,13,0,8,10,4.0,1.0,2.8,0.0,1,1,1,1,3.4,2.7,1.0
137,745,0,Latin America,HR,Market Access,Meets,Male,30,8,0,5,27,4.8,3.4,2.2,0.0383,1,1,1,1,3.1,4.0,3.5
138,938,0,Europe,Finance,Legal & Compliance,Far Exceeds,Male,46,11,0,10,18,3.2,3.5,4.1,0.1022,1,1,1,1,3.3,5.0,2.4
139,972,0,Europe,Finance,Market Access,Meets,Female,42,9,1,7,18,0.0,2.7,2.8,0.0331,1,1,1,1,3.6,1.5,3.6
140,819,0,Middle East & Africa,HR,Pharmacovigilance,Meets,Male,42,17,0,12,20,4.5,3.2,1.0,0.0383,1,1,1,1,3.0,4.5,2.1
141,414,0,North America,Manufacturing,Finance & Accounting,Below,Male,33,5,0,11,15,3.8,2.4,3.6,0.0,1,1,1,1,3.3,2.4,3.5
142,253,0,Middle East & Africa,Commercial,Quality Assurance,Meets,Female,43,11,1,8,12,0.0,2.4,3.3,0.0422,1,1,1,1,2.0,1.9,3.9
143,543,0,Latin America,Digital,Clinical Operations,Meets,Male,39,4,1,8,21,0.0,3.7,2.8,0.0853,1,1,1,1,3.3,3.3,2.3
144,898,0,Latin America,Finance,Supply Chain,Below,Male,31,13,0,6,26,3.1,1.0,3.0,0.0,1,1,1,1,4.6,2.7,3.2
145,331,0,Latin America,Commercial,Supply Chain,Meets,Female,40,18,0,7,14,4.6,2.7,1.9,0.0422,0,0,0,0,3.9,1.5,2.4
146,859,0,Latin America,HR,Quality Assurance,Below,Female,44,9,1,9,12,0.0,3.4,2.2,0.0,1,1,1,1,2.4,3.4,1.8
147,218,0,Latin America,Commercial,Market Access,Meets,Female,41,10,1,10,27,0.0,2.9,2.2,0.0422,1,1,1,1,1.9,2.8,2.9
148,627,0,Asia Pacific,Digital,Sales,Far Exceeds,Male,28,15,0,11,17,3.0,4.2,4.1,0.2363,1,1,1,1,2.8,2.8,3.8
149,232,0,Europe,Commercial,Market Access,Meets,Male,40,8,0,12,16,1.7,3.2,2.2,0.0422,1,1,1,1,1.6,2.7,3.1
150,223,0,Latin America,Commercial,Pharmacovigilance,Meets,Female,36,9,0,5,7,3.4,3.3,1.7,0.0422,0,0,0,0,4.0,2.9,2.5
151,203,0,North America,Commercial,Pharmacovigilance,Meets,Male,28,6,0,10,18,5.0,3.4,3.1,0.0422,1,1,1,1,5.0,5.0,3.4
152,342,0,North America,Commercial,Quality Assurance,Below,Male,42,9,0,9,19,2.3,2.2,1.1,0.0,1,1,1,1,2.4,1.3,1.9
153,132,0,North America,R&D,Marketing,Far Exceeds,Female,42,25,0,7,19,2.9,3.6,2.3,0.2644,1,1,1,1,2.9,2.8,2.0
154,910,0,North America,Finance,Marketing,Below,Male,38,23,0,9,30,2.1,4.7,3.3,0.0,1,1,1,1,3.7,2.8,2.5
155,845,0,Asia Pacific,HR,Clinical Operations,Below,Male,32,8,0,7,29,3.2,1.3,2.4,0.0,0,0,0,0,3.2,1.8,1.5
156,547,0,North America,Digital,Finance & Accounting,Meets,Male,46,11,0,9,29,3.5,2.2,2.0,0.0853,1,1,1,1,4.9,3.4,2.7
157,801,0,Latin America,HR,Communications,Meets,Female,41,18,0,10,12,1.6,3.5,1.3,0.0383,1,1,1,1,2.8,1.9,2.0
158,63,0,Middle East & Africa,R&D,Marketing,Meets,Male,42,10,0,11,27,3.9,2.8,1.9,0.0977,1,1,1,1,3.9,2.3,2.1
159,97,0,North America,R&D,Legal & Compliance,Below,Male,44,7,1,7,10,0.0,3.0,2.7,0.0,1,1,1,1,3.7,2.8,1.9
160,74,0,Asia Pacific,R&D,Medical Affairs,Exceeds,Male,45,18,0,6,24,3.1,3.3,2.6,0.1648,1,1,1,1,3.1,3.6,3.2
161,919,0,Asia Pacific,Finance,Medical Affairs,Meets,Female,40,9,0,8,15,2.4,1.9,3.7,0.0331,1,1,1,1,2.4,2.5,2.7
162,164,0,North America,R&D,Legal & Compliance,Below,Female,31,11,0,8,24,3.4,2.4,2.3,0.0,1,1,1,1,3.0,3.5,2.3
163,199,0,Middle East & Africa,Commercial,Regulatory Affairs,Meets,Male,34,10,1,10,15,0.0,3.4,1.0,0.0422,1,1,1,1,3.8,4.1,1.9
164,807,0,North America,HR,Finance & Accounting,Meets,Female,35,6,1,6,16,0.0,2.6,3.7,0.0383,1,1,1,1,2.8,2.8,1.0
165,396,0,Asia Pacific,Manufacturing,Human Resources,Meets,Male,45,9,1,8,28,0.0,1.8,4.3,0.0348,1,1,1,1,3.4,2.2,3.3
166,556,0,Europe,Digital,Legal & Compliance,Meets,Male,39,5,1,11,16,0.0,2.6,1.0,0.0853,1,1,1,1,2.1,3.8,1.2
167,105,0,Latin America,R&D,Medical Affairs,Meets,Female,34,11,0,10,12,5.0,3.3,3.4,0.0977,1,1,1,1,2.6,3.5,4.0
168,795,0,Asia Pacific,HR,Sales,Meets,Female,37,10,1,7,15,0.0,4.7,4.5,0.0383,1,1,1,1,4.2,4.0,2.8
169,59,0,North America,R&D,Finance & Accounting,Below,Male,46,2,0,10,21,3.8,2.8,2.1,0.0,1,1,1,1,3.2,1.3,3.2
170,884,0,Latin America,Finance,IT & Digital,Far Below,Female,42,5,1,9,25,0.0,3.2,3.1,0.0,0,0,0,0,3.2,2.3,3.4
171,75,0,North America,R&D,Sales,Meets,Male,44,5,0,12,26,3.4,2.0,3.2,0.0977,1,1,1,1,3.0,3.1,2.4
172,120,0,North America,R&D,Sales,Far Below,Non-Binary/Other,31,9,0,12,14,4.1,1.1,2.5,0.0,1,1,1,1,4.2,4.3,2.2
173,46,0,Europe,R&D,Medical Affairs,Meets,Female,37,28,0,5,10,4.2,2.0,4.4,0.0977,1,1,1,1,3.8,2.1,1.8
174,47,0,Latin America,R&D,Clinical Operations,Below,Non-Binary/Other,34,6,0,5,8,2.0,3.0,1.8,0.0,1,1,1,1,3.0,2.9,3.4
175,685,0,Latin America,Digital,Legal & Compliance,Meets,Male,47,13,0,6,23,2.1,3.7,5.0,0.0853,1,1,1,1,3.1,3.2,4.3
