id,team_id,treatment,region,organization,job_family,performance_rating,gender,age,tenure_months,num_direct_reports,tot_span_of_control,baseline_manager_efficacy,baseline_workload,baseline_stay_intention,propensity_score,exit_date,manager_efficacy_index,workload_index_mgr,stay_intention_index_mgr
22,73,0,Middle East & Africa,R&D,Legal & Compliance,Meets,Female,47,13,12,20,3.45,3.0,2.69,0.0977,,3.9,2.8,2.9
23,506,0,Latin America,Manufacturing,Pharmacovigilance,Meets,Female,27,2,7,13,3.46,1.43,1.0,0.0348,,4.4,2.6,1.0
24,352,0,North America,Commercial,Human Resources,Far Exceeds,Female,35,9,6,9,4.14,3.75,2.95,0.1275,,3.8,3.9,3.0
25,120,0,North America,R&D,Market Access,Meets,Male,36,9,12,21,4.05,2.98,3.47,0.0977,,2.3,3.7,2.6
26,24,0,Asia Pacific,R&D,Regulatory Affairs,Meets,Female,38,8,6,20,2.08,4.8,2.1,0.0977,,3.9,4.7,1.0
27,48,0,Asia Pacific,R&D,Quality Assurance,Meets,Female,30,7,11,17,3.23,1.0,2.59,0.0977,,3.1,3.1,1.9
28,998,0,Europe,Finance,Quality Assurance,Exceeds,Male,41,4,5,20,4.04,2.88,3.05,0.0588,,2.9,2.6,1.4
29,292,0,Latin America,Commercial,Clinical Operations,Below,Female,49,9,8,18,2.76,1.94,4.26,0.0,,2.4,2.4,1.3
30,378,0,Latin America,Manufacturing,Clinical Operations,Meets,Female,31,21,5,16,1.75,1.9,1.52,0.0348,,3.3,2.8,3.7
31,505,0,Asia Pacific,Manufacturing,Finance & Accounting,Exceeds,Male,39,14,5,11,3.31,2.37,3.84,0.0616,,3.3,3.2,3.5
32,95,0,Latin America,R&D,Medical Affairs,Exceeds,Male,46,14,7,24,2.07,4.49,3.44,0.1648,,1.0,2.6,2.0
33,173,0,Latin America,Commercial,Regulatory Affairs,Meets,Male,37,15,8,14,2.74,3.05,1.36,0.0422,2026-02-06,,,
34,953,0,North America,Finance,IT & Digital,Meets,Female,34,11,8,12,2.48,2.74,1.0,0.0331,,3.3,1.5,1.2
35,139,0,Asia Pacific,R&D,Communications,Meets,Male,39,7,5,9,3.04,2.76,1.75,0.0977,,2.8,3.5,2.3
36,807,0,Middle East & Africa,HR,Clinical Operations,Meets,Male,42,26,10,16,4.21,3.32,2.26,0.0383,2026-02-09,,,
37,454,0,Asia Pacific,Manufacturing,Pharmacovigilance,Exceeds,Male,30,8,7,20,3.77,2.54,1.35,0.0616,,3.2,2.4,2.2
38,584,0,Middle East & Africa,Digital,Finance & Accounting,Below,Female,44,19,9,40,4.27,3.28,3.05,0.0,,3.9,3.5,2.9
39,111,0,North America,R&D,Data Science,Meets,Female,37,27,10,12,3.69,3.21,1.58,0.0977,,3.8,3.0,3.0
40,826,0,Europe,HR,Legal & Compliance,Exceeds,Female,34,9,6,21,3.4,2.9,3.21,0.0677,2026-02-10,,,
41,469,0,Latin America,Manufacturing,Legal & Compliance,Meets,Male,29,6,7,26,4.37,3.37,2.34,0.0348,,4.5,3.1,1.5
42,932,1,North America,Finance,Legal & Compliance,Meets,Female,34,22,9,10,2.04,2.28,2.44,0.0331,,2.0,4.3,3.9
43,232,0,Latin America,Commercial,Clinical Operations,Meets,Female,34,8,11,36,4.47,2.8,3.82,0.0422,,2.5,3.2,4.4
44,366,0,Europe,Manufacturing,Regulatory Affairs,Exceeds,Female,31,19,11,24,3.75,1.73,3.78,0.0616,,4.4,3.1,3.6
45,248,0,Europe,Commercial,Quality Assurance,Far Exceeds,Female,41,15,6,9,4.05,1.32,3.41,0.1275,,3.1,2.2,4.2
46,235,0,North America,Commercial,Sales,Meets,Male,39,10,10,24,2.8,4.25,1.48,0.0422,,3.2,3.5,1.9
47,1029,0,Europe,Finance,Human Resources,Exceeds,Male,44,3,10,23,2.58,3.71,1.56,0.0588,,3.6,4.1,1.0
48,1037,0,Middle East & Africa,Finance,Supply Chain,Far Exceeds,Male,42,13,8,11,3.32,4.27,2.11,0.1022,2026-07-26,4.2,3.4,2.2
49,31,0,Europe,R&D,Marketing,Far Exceeds,Female,34,12,11,21,2.28,3.91,4.58,0.2644,,2.1,4.2,4.9
50,22,0,Latin America,R&D,Finance & Accounting,Meets,Female,36,16,7,24,2.9,2.32,1.43,0.0977,,2.6,2.9,1.0
51,422,0,Latin America,Manufacturing,Clinical Operations,Meets,Female,34,22,7,12,2.95,1.0,3.31,0.0348,,2.6,2.7,2.6
52,1013,0,Latin America,Finance,Marketing,Meets,Female,28,28,6,14,2.88,2.29,1.29,0.0331,2026-01-22,,,
53,764,0,Latin America,HR,Human Resources,Meets,Female,40,14,8,37,2.69,3.43,3.3,0.0383,,3.2,3.4,2.2
54,462,0,Middle East & Africa,Manufacturing,Supply Chain,Meets,Male,39,7,10,21,1.92,3.08,1.89,0.0348,,1.4,2.5,3.1
55,645,0,Asia Pacific,Digital,Medical Affairs,Meets,Male,34,19,10,22,3.71,3.04,3.18,0.0853,,2.7,3.9,2.8
56,300,0,North America,Commercial,Quality Assurance,Meets,Female,43,8,12,21,3.45,2.64,1.77,0.0422,2026-08-25,3.4,2.7,1.0
57,266,0,Latin America,Commercial,Quality Assurance,Meets,Non-Binary/Other,36,3,10,24,2.29,1.88,2.04,0.0422,2026-02-25,,,
58,33,0,Europe,R&D,Supply Chain,Exceeds,Female,45,9,8,13,3.6,4.56,2.55,0.1648,,3.0,3.1,2.9
59,844,0,Latin America,HR,Human Resources,Exceeds,Female,37,8,10,37,3.04,3.58,1.95,0.0677,,3.0,3.1,1.6
60,971,0,Europe,Finance,Communications,Meets,Male,30,14,9,14,2.52,3.49,1.61,0.0331,2026-02-24,,,
61,1043,0,Europe,Finance,Regulatory Affairs,Meets,Male,47,31,6,11,3.79,1.55,2.2,0.0331,,4.3,3.3,2.6
62,110,1,Latin America,R&D,Marketing,Meets,Female,40,23,12,18,3.29,2.82,2.9,0.0977,,4.1,3.1,3.0
63,604,0,Middle East & Africa,Digital,Marketing,Below,Female,32,26,9,10,4.44,3.54,1.0,0.0,,4.6,1.8,2.4
64,369,0,Europe,Manufacturing,IT & Digital,Far Below,Female,36,5,11,15,2.67,4.86,2.89,0.0,2026-12-22,2.8,3.6,4.3
65,386,0,Europe,Manufacturing,Communications,Exceeds,Female,33,30,10,25,3.66,4.04,1.0,0.0616,,3.4,3.4,1.0
66,858,0,Latin America,HR,IT & Digital,Below,Male,44,13,7,7,4.6,2.68,3.02,0.0,,4.1,1.6,1.3
67,26,0,Europe,R&D,Supply Chain,Exceeds,Male,26,16,8,19,3.38,3.66,4.91,0.1648,,3.0,2.3,4.0
68,165,0,Europe,R&D,Marketing,Exceeds,Female,40,6,11,26,2.39,3.35,2.5,0.1648,,3.2,3.6,2.2
69,657,0,Latin America,Digital,Regulatory Affairs,Meets,Male,28,22,8,19,2.85,3.76,2.89,0.0853,,3.2,4.2,5.0
70,468,1,Latin America,Manufacturing,Quality Assurance,Exceeds,Female,27,10,8,21,4.47,2.7,1.55,0.0616,,4.9,3.7,1.0
71,82,0,North America,R&D,Communications,Meets,Female,40,7,11,26,4.43,3.15,2.47,0.0977,,4.0,4.3,2.1
72,885,0,Middle East & Africa,Finance,Medical Affairs,Exceeds,Female,31,8,10,13,2.86,2.2,1.06,0.0588,2026-02-22,,,
73,869,0,Middle East & Africa,HR,Pharmacovigilance,Exceeds,Non-Binary/Other,42,8,12,22,2.64,2.7,3.81,0.0677,,1.9,2.5,2.9
74,409,0,Europe,Manufacturing,Quality Assurance,Below,Male,44,15,5,24,3.95,4.15,1.47,0.0,,2.9,3.1,2.1
75,665,0,Middle East & Africa,Digital,Legal & Compliance,Meets,Female,35,5,6,9,2.57,3.21,2.52,0.0853,,2.2,3.6,2.4
76,778,0,Europe,HR,Data Science,Meets,Male,41,6,12,43,3.35,1.66,4.41,0.0383,,3.6,2.1,2.5
77,281,0,North America,Commercial,Data Science,Far Below,Male,47,9,9,17,1.04,2.56,2.51,0.0,,1.0,3.0,3.3
78,961,0,Latin America,Finance,Quality Assurance,Far Exceeds,Female,32,4,10,29,4.6,3.62,2.55,0.1022,2026-02-12,,,
79,580,0,Latin America,Digital,Regulatory Affairs,Meets,Male,43,19,12,35,3.48,1.34,3.01,0.0853,,2.5,1.1,1.9
80,845,0,Latin America,HR,Pharmacovigilance,Meets,Female,33,17,9,20,2.92,3.71,4.14,0.0383,2026-01-29,,,
81,116,0,Middle East & Africa,R&D,Medical Affairs,Below,Female,38,8,8,16,3.61,4.01,2.36,0.0,,3.1,5.0,2.6
82,212,0,North America,Commercial,Communications,Meets,Male,34,11,8,12,3.85,3.3,4.33,0.0422,2026-10-19,3.9,3.1,3.4
83,617,0,Middle East & Africa,Digital,Marketing,Exceeds,Male,34,16,10,14,1.81,2.42,3.09,0.1452,,2.6,2.8,1.9
84,125,0,Middle East & Africa,R&D,Data Science,Meets,Male,36,8,11,24,2.59,1.45,3.4,0.0977,,3.2,1.2,2.1
85,971,0,North America,Finance,Data Science,Meets,Female,34,12,5,9,2.97,2.0,3.55,0.0331,,3.8,1.1,3.1
86,347,0,North America,Commercial,Data Science,Meets,Female,37,13,7,27,2.13,4.5,2.91,0.0422,,1.9,3.3,1.8
87,474,0,North America,Manufacturing,Human Resources,Meets,Female,45,22,8,13,2.92,2.86,2.43,0.0348,,3.8,3.5,2.6
88,121,0,North America,R&D,Finance & Accounting,Meets,Male,30,19,12,20,2.93,4.18,2.5,0.0977,2026-03-21,,,
89,768,0,Latin America,HR,Market Access,Below,Male,41,14,7,23,2.62,2.69,1.91,0.0,,3.8,1.9,2.1
90,700,0,Asia Pacific,Digital,IT & Digital,Far Below,Male,32,12,10,11,2.81,2.33,1.71,0.0,2026-02-10,,,
91,263,0,Asia Pacific,Commercial,Legal & Compliance,Below,Female,32,5,9,32,3.05,2.96,2.27,0.0,,2.9,3.0,3.5
92,152,0,North America,R&D,Legal & Compliance,Exceeds,Male,27,22,8,25,1.83,4.19,2.38,0.1648,,3.7,2.7,1.6
93,369,0,Asia Pacific,Manufacturing,Legal & Compliance,Far Exceeds,Male,44,14,10,17,3.96,3.55,2.1,0.1069,2026-10-11,3.0,4.8,1.1
94,641,0,Asia Pacific,Digital,IT & Digital,Below,Male,37,30,8,20,3.66,1.99,1.68,0.0,2026-05-03,,,
95,585,0,North America,Digital,Regulatory Affairs,Meets,Female,33,17,11,21,2.93,2.33,3.34,0.0853,,3.5,3.0,1.9
96,18,0,Asia Pacific,R&D,Quality Assurance,Below,Female,39,13,5,13,3.3,1.69,4.4,0.0,,3.3,3.5,4.6
97,440,1,Middle East & Africa,Manufacturing,Pharmacovigilance,Exceeds,Female,36,10,12,14,3.25,4.24,4.69,0.0616,,5.0,4.9,3.3
98,972,0,Europe,Finance,Communications,Meets,Female,45,5,7,15,4.89,3.18,3.36,0.0331,,4.8,2.2,2.0
99,1020,0,Europe,Finance,Quality Assurance,Meets,Female,32,14,11,20,2.69,3.27,1.14,0.0331,,4.0,1.2,2.4
100,248,0,North America,Commercial,Communications,Meets,Male,37,6,9,31,3.54,3.41,4.53,0.0422,,3.5,2.5,3.0
101,134,0,Latin America,R&D,Market Access,Meets,Male,43,34,12,19,1.23,2.97,3.3,0.0977,,1.0,2.2,3.9
102,274,0,North America,Commercial,Data Science,Meets,Female,32,7,10,34,3.54,2.33,3.65,0.0422,,2.4,1.2,3.1
103,913,0,Latin America,Finance,Supply Chain,Below,Male,35,9,8,16,2.91,1.12,4.07,0.0,2026-03-10,,,
104,550,0,Europe,Digital,Human Resources,Far Below,Male,30,12,11,25,3.56,3.17,4.22,0.0,,3.0,3.6,3.6
105,182,0,North America,Commercial,Market Access,Meets,Male,33,11,6,7,3.45,5.0,2.8,0.0422,,3.1,2.2,4.3
106,501,1,Middle East & Africa,Manufacturing,Regulatory Affairs,Exceeds,Male,29,7,6,8,3.27,2.09,1.83,0.0616,,3.7,1.8,3.7
107,777,0,Asia Pacific,HR,Medical Affairs,Meets,Male,32,11,8,21,3.43,1.28,3.97,0.0383,,3.3,2.1,1.5
108,877,0,Latin America,Finance,IT & Digital,Below,Female,30,27,8,22,3.97,2.71,1.0,0.0,,3.5,3.8,2.1
109,946,0,Asia Pacific,Finance,Finance & Accounting,Exceeds,Male,34,14,11,20,3.1,3.35,1.77,0.0588,,2.2,3.1,2.6
110,525,0,Asia Pacific,Manufacturing,Legal & Compliance,Below,Male,44,12,9,23,3.01,2.04,4.53,0.0,,3.2,5.0,5.0
111,230,0,North America,Commercial,Finance & Accounting,Below,Male,40,3,6,13,4.14,2.42,2.03,0.0,2026-01-09,,,
112,33,0,Asia Pacific,R&D,Marketing,Exceeds,Female,46,13,8,14,3.42,1.82,4.37,0.1648,,3.6,3.5,4.0
113,559,0,Middle East & Africa,Digital,Human Resources,Meets,Female,36,27,10,28,2.66,3.04,1.97,0.0853,,2.4,3.1,2.5
114,734,0,Asia Pacific,HR,Sales,Meets,Male,33,5,12,16,3.67,3.34,1.41,0.0383,,4.3,4.7,3.2
115,6,0,North America,R&D,Finance & Accounting,Meets,Female,37,10,6,8,3.09,2.66,2.95,0.0977,,2.8,2.7,3.2
116,89,0,Middle East & Africa,R&D,Pharmacovigilance,Meets,Male,34,10,9,11,2.14,2.13,3.53,0.0977,,4.0,2.8,3.9
117,501,0,Europe,Manufacturing,Market Access,Far Below,Female,40,25,6,11,3.68,3.56,2.24,0.0,2026-06-30,,,
118,204,0,Asia Pacific,Commercial,Medical Affairs,Meets,Female,29,7,6,15,2.96,3.7,3.09,0.0422,,3.4,2.8,2.2
119,876,0,North America,Finance,Sales,Meets,Female,38,7,11,21,1.72,2.81,3.04,0.0331,,2.0,4.8,4.8
120,930,0,Europe,Finance,Medical Affairs,Far Exceeds,Female,47,5,7,17,2.19,3.34,3.01,0.1022,,2.3,3.9,2.9
121,370,0,Europe,Manufacturing,Legal & Compliance,Far Exceeds,Male,32,12,9,39,3.83,3.82,5.0,0.1069,,3.9,3.9,3.3
122,198,0,Latin America,Commercial,Finance & Accounting,Meets,Female,35,25,8,12,3.5,2.2,2.08,0.0422,2026-03-07,,,
123,385,0,Middle East & Africa,Manufacturing,Legal & Compliance,Meets,Male,28,10,8,18,3.15,1.64,3.1,0.0348,,3.2,1.7,2.6
124,1006,0,Asia Pacific,Finance,Quality Assurance,Below,Non-Binary/Other,45,8,11,13,3.68,3.73,2.09,0.0,,3.5,3.9,4.2
125,31,0,North America,R&D,Finance & Accounting,Below,Male,37,28,9,10,3.8,4.86,1.6,0.0,2026-02-05,,,
126,587,0,Latin America,Digital,Quality Assurance,Meets,Male,35,9,12,24,3.96,1.1,2.59,0.0853,,4.3,1.0,2.1
127,266,0,Middle East & Africa,Commercial,Communications,Meets,Male,38,13,10,19,3.95,4.51,1.06,0.0422,,3.9,2.8,2.2
128,820,0,Latin America,HR,Data Science,Meets,Male,38,9,7,15,2.79,2.94,3.16,0.0383,,3.1,3.0,2.6
129,744,0,Middle East & Africa,HR,Clinical Operations,Meets,Female,34,19,5,12,1.3,3.92,3.11,0.0383,2026-03-18,,,
130,125,0,Middle East & Africa,R&D,Marketing,Exceeds,Female,30,15,11,14,2.82,1.75,2.17,0.1648,,4.3,1.8,4.1
131,497,0,Asia Pacific,Manufacturing,Regulatory Affairs,Meets,Male,39,7,9,16,5.0,2.48,2.48,0.0348,,2.9,1.7,3.2
132,474,0,Middle East & Africa,Manufacturing,Regulatory Affairs,Meets,Male,38,31,8,32,3.94,3.89,3.96,0.0348,2026-05-28,,,
133,1044,0,Latin America,Finance,Data Science,Below,Female,36,18,7,12,2.94,3.9,2.42,0.0,,2.8,4.4,2.5
134,44,0,Middle East & Africa,R&D,Quality Assurance,Meets,Male,36,11,5,10,2.92,2.72,1.68,0.0977,,3.8,1.0,1.0
135,916,0,Asia Pacific,Finance,Data Science,Exceeds,Male,44,23,5,35,4.36,2.91,2.06,0.0588,2026-01-06,,,
136,1042,0,Asia Pacific,Finance,Supply Chain,Below,Female,40,13,9,14,2.32,2.56,3.76,0.0,,1.8,2.0,2.2
137,840,0,Latin America,HR,Market Access,Meets,Male,30,8,5,10,3.85,1.74,4.5,0.0383,,4.6,2.7,3.6
138,907,0,Europe,Finance,Legal & Compliance,Far Exceeds,Male,46,11,9,27,2.08,3.11,2.88,0.1022,,2.8,2.0,1.0
139,921,0,Europe,Finance,Market Access,Meets,Female,42,9,10,16,4.26,2.87,2.95,0.0331,2026-11-13,5.0,4.6,1.5
140,760,0,Middle East & Africa,HR,Pharmacovigilance,Meets,Male,42,17,5,8,3.24,2.62,2.49,0.0383,,2.7,1.7,2.2
141,422,0,North America,Manufacturing,Finance & Accounting,Below,Male,33,5,5,10,4.12,1.74,2.44,0.0,,4.4,4.4,2.6
142,338,0,Middle East & Africa,Commercial,Quality Assurance,Meets,Female,43,11,9,20,2.92,2.76,1.7,0.0422,,2.4,3.3,1.6
143,629,0,Latin America,Digital,Clinical Operations,Meets,Male,39,4,5,12,4.99,3.19,2.71,0.0853,,4.4,4.2,3.6
144,1002,0,Latin America,Finance,Supply Chain,Below,Male,31,13,12,20,3.52,3.55,2.41,0.0,,2.1,3.0,1.5
145,321,0,Latin America,Commercial,Supply Chain,Meets,Female,40,18,11,30,3.79,3.15,1.2,0.0422,,2.8,3.6,3.2
146,853,0,Latin America,HR,Quality Assurance,Below,Female,44,9,6,11,4.26,1.5,2.96,0.0,,3.1,2.1,3.4
147,325,0,Latin America,Commercial,Market Access,Meets,Female,41,10,10,20,4.78,2.74,1.51,0.0422,,4.1,4.5,2.5
148,588,0,Asia Pacific,Digital,Sales,Far Exceeds,Male,27,15,9,29,3.09,3.9,1.0,0.2363,,3.9,4.3,1.4
149,228,0,Europe,Commercial,Market Access,Meets,Male,40,8,6,25,3.43,2.47,2.56,0.0422,,3.2,3.3,2.7
150,280,0,Latin America,Commercial,Pharmacovigilance,Meets,Female,36,9,7,30,3.62,1.1,2.02,0.0422,,3.9,3.0,1.8
151,323,0,North America,Commercial,Pharmacovigilance,Meets,Male,27,6,9,15,4.35,2.53,2.11,0.0422,,3.0,3.0,4.0
152,352,0,North America,Commercial,Quality Assurance,Below,Male,42,9,9,15,4.06,2.43,3.48,0.0,2026-06-24,,,
153,132,0,North America,R&D,Marketing,Far Exceeds,Female,42,25,9,17,1.77,4.04,1.05,0.2644,,2.9,3.4,1.6
154,897,0,North America,Finance,Marketing,Below,Male,38,23,7,18,2.12,3.64,4.14,0.0,,3.2,3.1,2.4
155,814,0,Asia Pacific,HR,Clinical Operations,Below,Male,32,8,10,19,3.92,4.81,3.13,0.0,,2.9,1.7,3.8
156,669,0,North America,Digital,Finance & Accounting,Meets,Male,46,11,10,32,4.74,3.28,3.79,0.0853,,3.3,2.2,3.5
157,790,0,Latin America,HR,Communications,Meets,Female,41,18,5,14,2.89,5.0,1.68,0.0383,,2.9,3.9,2.2
158,98,0,Middle East & Africa,R&D,Marketing,Meets,Male,42,10,7,9,3.8,4.97,4.76,0.0977,,4.1,4.4,4.0
159,122,0,North America,R&D,Legal & Compliance,Below,Male,44,7,8,14,2.89,3.58,2.26,0.0,,4.7,5.0,1.6
160,13,1,Asia Pacific,R&D,Medical Affairs,Exceeds,Male,45,18,7,24,3.42,3.9,2.4,0.1648,,3.4,4.4,1.9
161,900,0,Asia Pacific,Finance,Medical Affairs,Meets,Female,40,9,5,18,2.65,3.92,2.99,0.0331,,3.5,2.8,2.1
162,38,0,North America,R&D,Legal & Compliance,Below,Female,31,11,11,19,2.84,3.7,2.81,0.0,,2.2,4.3,2.7
163,285,0,Middle East & Africa,Commercial,Regulatory Affairs,Meets,Male,34,10,8,13,3.18,2.16,3.2,0.0422,,2.1,1.9,2.9
164,756,1,North America,HR,Finance & Accounting,Meets,Female,35,6,7,16,3.52,2.83,2.9,0.0383,,5.0,4.0,2.2
165,462,0,Asia Pacific,Manufacturing,Human Resources,Meets,Male,45,9,9,25,4.58,2.79,1.0,0.0348,2026-03-20,,,
166,655,0,Europe,Digital,Legal & Compliance,Meets,Male,39,5,11,32,2.6,4.02,3.47,0.0853,,2.8,3.2,3.6
167,13,0,Latin America,R&D,Medical Affairs,Meets,Female,34,11,6,31,4.55,3.53,3.26,0.0977,2026-04-25,,,
168,858,0,Asia Pacific,HR,Sales,Meets,Female,37,10,8,12,3.9,3.17,1.64,0.0383,2026-03-19,,,
169,29,0,North America,R&D,Finance & Accounting,Below,Male,46,2,5,17,2.75,1.84,1.41,0.0,,3.2,3.4,2.0
170,1037,0,Latin America,Finance,IT & Digital,Far Below,Female,42,5,9,16,2.72,2.51,3.09,0.0,,2.0,1.5,2.2
171,50,1,North America,R&D,Sales,Meets,Male,44,5,9,25,2.27,2.46,3.07,0.0977,,3.3,2.8,4.2
172,122,0,North America,R&D,Sales,Far Below,Non-Binary/Other,31,9,11,25,2.61,4.94,3.82,0.0,,2.9,3.8,3.6
173,59,0,Europe,R&D,Medical Affairs,Meets,Female,37,28,7,11,2.02,2.8,3.85,0.0977,,3.4,1.2,3.8
174,106,0,Latin America,R&D,Clinical Operations,Below,Non-Binary/Other,34,6,12,18,3.3,2.19,4.59,0.0,,4.1,3.1,4.6
175,583,0,Latin America,Digital,Legal & Compliance,Meets,Male,47,13,7,13,2.93,3.15,2.14,0.0853,,4.1,2.2,3.0
176,864,0,Europe,HR,Market Access,Meets,Male,37,21,10,19,2.69,3.27,1.65,0.0383,,3.6,3.8,3.2
177,966,0,Asia Pacific,Finance,Quality Assurance,Below,Female,35,6,10,20,4.33,2.87,1.25,0.0,,3.4,5.0,2.2
178,50,0,North America,R&D,Data Science,Meets,Female,26,1,8,11,3.43,4.4,1.96,0.0977,2026-02-20,,,
179,64,1,Middle East & Africa,R&D,Regulatory Affairs,Meets,Female,46,4,6,10,3.55,4.13,3.69,0.0977,,3.7,3.6,3.5
180,151,0,North America,R&D,Pharmacovigilance,Meets,Male,47,4,6,21,4.17,2.37,1.13,0.0977,2026-05-27,,,
181,35,0,North America,R&D,Supply Chain,Meets,Female,26,24,9,30,2.31,2.26,1.28,0.0977,2026-04-01,,,
182,196,0,Asia Pacific,Commercial,Pharmacovigilance,Below,Female,39,8,10,22,3.14,1.62,1.91,0.0,,3.5,2.2,1.6
183,290,0,North America,Commercial,Finance & Accounting,Meets,Female,44,20,10,35,4.21,5.0,2.91,0.0422,,4.1,4.3,3.3
184,515,0,Europe,Manufacturing,Regulatory Affairs,Meets,Male,41,6,10,12,2.07,2.4,3.43,0.0348,,3.3,3.3,4.6
185,164,0,Europe,R&D,Pharmacovigilance,Meets,Female,35,13,7,16,3.57,3.01,2.66,0.0977,,2.4,2.7,2.3
186,518,0,Latin America,Manufacturing,Market Access,Far Exceeds,Female,32,7,7,9,4.56,2.56,1.89,0.1069,,4.2,4.1,3.9
187,613,0,Middle East & Africa,Digital,Pharmacovigilance,Far Below,Male,45,8,12,15,1.75,1.8,3.55,0.0,,2.8,3.6,2.5
188,478,0,North America,Manufacturing,Human Resources,Meets,Female,43,24,6,12,4.56,4.27,2.3,0.0348,,4.0,3.7,2.5
189,851,1,North America,HR,Pharmacovigilance,Meets,Male,42,12,10,28,3.96,3.46,1.0,0.0383,,3.4,3.2,1.6
190,191,0,Asia Pacific,Commercial,Market Access,Below,Female,45,21,9,13,3.46,2.76,3.44,0.0,,3.8,4.0,3.9
191,336,0,Europe,Commercial,Finance & Accounting,Far Below,Female,51,7,10,33,4.28,1.26,3.41,0.0,,5.0,1.9,1.8
192,77,0,Middle East & Africa,R&D,Market Access,Exceeds,Male,36,15,9,11,3.62,2.88,3.74,0.1648,,3.9,1.7,3.2
193,115,0,Latin America,R&D,Medical Affairs,Meets,Female,36,6,5,11,2.47,3.48,1.76,0.0977,,3.0,2.8,1.5
194,630,0,Europe,Digital,Market Access,Far Exceeds,Female,36,8,9,14,2.94,2.03,3.07,0.2363,,2.2,3.4,2.3
195,1011,0,Latin America,Finance,Data Science,Meets,Female,32,11,10,21,3.23,3.89,3.94,0.0331,,4.8,4.6,3.6
196,531,0,Asia Pacific,Digital,Marketing,Below,Female,45,7,10,15,3.82,4.14,3.96,0.0,,4.2,4.4,4.9
197,801,0,Asia Pacific,HR,Data Science,Meets,Male,46,3,9,12,2.69,3.46,2.18,0.0383,,3.6,3.8,2.7
198,115,0,North America,R&D,Human Resources,Exceeds,Female,44,1,11,13,3.45,2.09,1.52,0.1648,,3.6,1.5,1.7
199,17,1,Middle East & Africa,R&D,Pharmacovigilance,Exceeds,Male,48,11,9,28,3.34,2.4,1.46,0.1648,,4.2,3.4,2.3
200,597,0,Latin America,Digital,Data Science,Meets,Male,39,5,11,15,3.44,3.45,1.0,0.0853,,4.7,3.9,1.0
